Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.0018518237295035598,0.95,-0.2075181697259281,0.21255824588760702,0.5069583333333333,0.95,-0.1,0.1,0.6861184210526315,0.9999822699717444,50298.021441378965
b_connectivity_sc,-0.1030321561996273,0.95,-0.3197075971812008,0.11611926637121572,0.82425,0.95,-0.1,0.1,0.47890350877192983,1.0000629023360648,49810.11091175179
b_dbh_mm_sc,0.07228103715029485,0.95,-0.14465272707034973,0.2907084750317157,0.7469166666666667,0.95,-0.1,0.1,0.5658114035087719,1.00000887907119,49268.29791922228
