Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,4.414943910624087,0.95,4.390905143781004,4.4382849495066,1,0.95,-0.1,0.1,0,1.0009600839787984,7605.598915702779
b_connectivity_sc,0.01541382770549041,0.95,-0.007538587456034423,0.03910491879097679,0.9051041666666667,0.95,-0.1,0.1,1,1.0003933564178373,8768.920659433414
b_individ_fecundity_sc,-0.011044676444646283,0.95,-0.04121363576859703,0.01812215845721419,0.7675208333333333,0.95,-0.1,0.1,1,1.0002599966886876,9922.048419638135
b_connectivity_sc:individ_fecundity_sc,0.005511774547388784,0.95,-0.02707316108090179,0.03920079598401495,0.62875,0.95,-0.1,0.1,1,1.0005047805106067,11829.651614951978
