Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.6120166527417763,0.95,-1.723464354634218,-1.5024744590612575,1,0.95,-0.1,0.1,0,0.9999505248059511,28573.025926613915
b_connectivity_sc,-0.09104287429766078,0.95,-0.20127976669782716,0.018195440247905335,0.9491875,0.95,-0.1,0.1,0.5681359649122807,1.0000787592491964,27168.651288027395
b_individ_fecundity_sc,0.22050267229623205,0.95,0.14363471262841687,0.3004621140592861,1,0.95,-0.1,0.1,0,1.0000124163654664,22338.839735398768
b_connectivity_sc:individ_fecundity_sc,0.1163454831093923,0.95,0.03481679331625182,0.1969312352801705,0.9975833333333334,0.95,-0.1,0.1,0.3405263157894737,0.9999731030185823,22693.809761736808
