Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.5820616142432735,0.95,-1.703435918035428,-1.461677950679721,1,0.95,-0.1,0.1,0,1.000004859234913,32242.210023123826
b_connectivity_sc,-0.12586887983295608,0.95,-0.2486924510919411,-0.005948677993015611,0.9801666666666666,0.95,-0.1,0.1,0.32666666666666666,1.0000776797945787,34354.03539995614
b_individ_fecundity_sc,0.2590158789417568,0.95,0.17218444531942456,0.3394551973084394,1,0.95,-0.1,0.1,0,1.000017073944957,25961.00418810641
b_connectivity_sc:individ_fecundity_sc,0.19486782638361388,0.95,0.10366412155075827,0.27988485488715403,1,0.95,-0.1,0.1,0,1.0000702327215183,26821.951373570395
