Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.0011073176413458222,0.95,-0.20365480311116937,0.2089255932852561,0.5044375,0.95,-0.1,0.1,0.6945394736842105,0.9999858217428897,51201.25945078617
b_connectivity_sc,-0.17342379142595613,0.95,-0.38294726921647815,0.04497506840765195,0.9443958333333333,0.95,-0.1,0.1,0.23339912280701755,1.00003388425445,53050.51665163092
b_dbh_mm_sc,0.17704068158375624,0.95,-0.034502629988210326,0.39358505192655724,0.9476666666666667,0.95,-0.1,0.1,0.2262938596491228,1.0000442282510087,46092.17048123165
